"DateTime";"WR 1 20KTL Output (kWh)";"WR 1 20KTL Temperature (°C)"
"2023-07-01 00:00:00";0;0
"2023-07-01 01:00:00";0;0
"2023-07-01 02:00:00";0;0
"2023-07-01 03:00:00";0;0
"2023-07-01 04:00:00";0;0
"2023-07-01 05:00:00";0,04;14,64
"2023-07-01 06:00:00";0,57;21,3
"2023-07-01 07:00:00";2,93;25,31
"2023-07-01 08:00:00";8,08;30,16
"2023-07-01 09:00:00";15,3;33,26
"2023-07-01 10:00:00";23,66;36,26
"2023-07-01 11:00:00";31,36;37,27
"2023-07-01 12:00:00";39,82;38,13
"2023-07-01 13:00:00";49,24;39,58
"2023-07-01 14:00:00";56,28;39,71
"2023-07-01 15:00:00";61,34;38,29
"2023-07-01 16:00:00";64,94;35,77
"2023-07-01 17:00:00";67,57;33,43
"2023-07-01 18:00:00";68,52;30,8
"2023-07-01 19:00:00";69,31;29,43
"2023-07-01 20:00:00";69,39;27,61
"2023-07-01 21:00:00";69,39;4,64
"2023-07-01 22:00:00";69,39;0
"2023-07-01 23:00:00";0;0
"2023-07-02 00:00:00";0;0
"2023-07-02 01:00:00";0;0
"2023-07-02 02:00:00";0;0
"2023-07-02 03:00:00";0;0
"2023-07-02 04:00:00";0;0
"2023-07-02 05:00:00";0,04;20,76
"2023-07-02 06:00:00";0,28;21,65
"2023-07-02 07:00:00";1;22,89
"2023-07-02 08:00:00";3,65;24,59
"2023-07-02 09:00:00";8,01;26,65
"2023-07-02 10:00:00";15,06;30,11
"2023-07-02 11:00:00";23,15;32,52
"2023-07-02 12:00:00";31,69;35,77
"2023-07-02 13:00:00";42,77;39,86
"2023-07-02 14:00:00";51,08;39,33
"2023-07-02 15:00:00";58,36;38,18
"2023-07-02 16:00:00";62,81;34,61
"2023-07-02 17:00:00";67,24;32,97
"2023-07-02 18:00:00";69,83;31,62
"2023-07-02 19:00:00";71,06;30,17
"2023-07-02 20:00:00";71,36;28,49
"2023-07-02 21:00:00";71,38;13,49
"2023-07-02 22:00:00";71,38;0
"2023-07-02 23:00:00";0;0
"2023-07-03 00:00:00";0;0
"2023-07-03 01:00:00";0;0
"2023-07-03 02:00:00";0;0
"2023-07-03 03:00:00";0;0
"2023-07-03 04:00:00";0;0
"2023-07-03 05:00:00";0,04;14,62
"2023-07-03 06:00:00";0,37;21,03
"2023-07-03 07:00:00";1,18;22,51
"2023-07-03 08:00:00";3,13;24,49
"2023-07-03 09:00:00";7,42;27,56
"2023-07-03 10:00:00";12,04;30,51
"2023-07-03 11:00:00";16,84;30,86
"2023-07-03 12:00:00";25,39;33,74
"2023-07-03 13:00:00";34,02;36,29
"2023-07-03 14:00:00";43,13;37,04
"2023-07-03 15:00:00";51,83;39,05
"2023-07-03 16:00:00";57,85;36,35
"2023-07-03 17:00:00";61,59;32,91
"2023-07-03 18:00:00";64,12;31,07
"2023-07-03 19:00:00";65,35;29,19
"2023-07-03 20:00:00";65,57;28,02
"2023-07-03 21:00:00";65,58;11,41
"2023-07-03 22:00:00";65,58;0
"2023-07-03 23:00:00";0;0
"2023-07-04 00:00:00";0;0
"2023-07-04 01:00:00";0;0
"2023-07-04 02:00:00";0;0
"2023-07-04 03:00:00";0;0
"2023-07-04 04:00:00";0;0
"2023-07-04 05:00:00";0;15,01
"2023-07-04 06:00:00";0,62;21,46
"2023-07-04 07:00:00";2,73;24,04
"2023-07-04 08:00:00";7,59;28,78
"2023-07-04 09:00:00";14,4;32,23
"2023-07-04 10:00:00";22,55;35,43
"2023-07-04 11:00:00";30,76;37,09
"2023-07-04 12:00:00";40,79;40,14
"2023-07-04 13:00:00";49,88;41,86
"2023-07-04 14:00:00";56,69;40,24
"2023-07-04 15:00:00";64,78;40,71
"2023-07-04 16:00:00";70,88;38,66
"2023-07-04 17:00:00";75,91;36,52
"2023-07-04 18:00:00";78,55;34,94
"2023-07-04 19:00:00";79,85;33,4
"2023-07-04 20:00:00";80,07;31,3
"2023-07-04 21:00:00";80,07;12,6
"2023-07-04 22:00:00";80,07;0
"2023-07-04 23:00:00";0;0
"2023-07-05 00:00:00";0;0
"2023-07-05 01:00:00";0;0
"2023-07-05 02:00:00";0;0
"2023-07-05 03:00:00";0;0
"2023-07-05 04:00:00";0;0
"2023-07-05 05:00:00";0,08;20,75
"2023-07-05 06:00:00";0,21;21,82
"2023-07-05 07:00:00";0,88;22,86
"2023-07-05 08:00:00";2,14;23,56
"2023-07-05 09:00:00";4,87;25,55
"2023-07-05 10:00:00";6,35;25,32
"2023-07-05 11:00:00";7,89;23,31
